,Empresas,Cargos,Salarios,Ciudades,Urls
4567,Empresa confidencial,Asesor de ventas tecnologia bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-ventas-tecnologia-bogota/1885612929
4568,COLSUBSIDIO,Ejecutivo de aseguramiento retencion empresarial urgente,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-aseguramiento-retencion-empresarial-urgente/1885612933
4569,Servicio de empleo Comfama,Asesoría en punto de venta 305642.30,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesoria-en-punto-de-venta-30564230/1885612937
4570,Empresa confidencial,Auxiliar video cctv,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-video-cctv/1885612943
4571,Servicio de empleo Comfama,Líder de desarrollo 1626040293.141,$6 a $8 millones,Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-desarrollo-1626040293141/1885612934
4572,Empresa confidencial,Ingeniero networking,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-networking/1885612951
4573,NOVATEC,Reclutador ti,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/reclutador-ti/1885612954
4574,Inmaculada Concepcion,Auxiliar de cocina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-cocina/1885612948
4575,ADECCO COLOMBIA S A,Especialista de atraccion del talento humano (cota) con ruta,"$2,5 a $3 millones",Cota,https://www.elempleo.com/co/ofertas-trabajo/especialista-de-atraccion-del-talento-humano-cota-con-ruta/1885612983
4576,Empresa confidencial,Supervisor de transporte la lucha,"$1 a $1,5 millones",Sahagún,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-transporte-la-lucha/1885356387
4577,Grupo Good,Conductor de obra -pereira,"$1 a $1,5 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/conductor-de-obra-pereira/1885612973
4578,UNIVERSIDAD DE LA SALLE,Ingeniero electricista,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-electricista/1885612970
4579,CHEIL COLOMBIA,Project manager,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/project-manager/1885612965
4580,La Comuna Seguros Ltda.,Asesor de seguros,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-seguros/1885612964
4581,LILIPINK,"Líder o administradora punto de venta retail (exp. en tienda de ropa, calzado, accesorios)","$1,5 a $2 millones",Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/lider-o-administradora-punto-de-venta-retail-exp-en-tienda-de-ropa-calzado-accesorios/1885612967
4582,PONTIFICIA UNIVERSID,Auxiliar de pagos,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-pagos/1885612966
4583,INSTITUTO DE ESTUDIOS CIENTIFICOS EN ODONTOLOGIA IECO S.A.,Coordinador ips odontologica,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-ips-odontologica/1884819390
4584,Empresa confidencial,"Analista de viabilidad - bogotá d,c",Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-viabilidad-bogota-dc/1885507572
4585,CREDICORP CAPITAL COLOMBIA,Analista sr. recaudos y pagos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-sr-recaudos-y-pagos/1885554387
4586,NTT DATA Colombia,Desarrollador terraform iac azure,"$10 a $12,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-terraform-iac-azure/1885612863
4587,SUSTS Colombia Ltda.,Practicante tecnico o tecnólogo - tecnología y sistemas bogota,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-tecnico-o-tecnologo-tecnologia-y-sistemas-bogota/1885613220
4588,KIBERNUM SAS,Analista tecnico/fullstack,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-tecnico-fullstack/1885613215
4589,Empresa confidencial,Consultor en sistemas integrados de gestión,"$4 a $4,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/consultor-en-sistemas-integrados-de-gestion/1885613213
4590,CEDICAF S.A,Técnico en atención pre hospitalario,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-en-atencion-pre-hospitalario/1885612982
4591,Empresa confidencial,Coordinador administrador en salud - pasto,$6 a $8 millones,Pasto,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrador-en-salud-pasto/1885613219
4592,Universidad de la Sabana,Gestor de proyectos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-proyectos/1885613143
4593,Empresa confidencial,Jefe de importaciones y logistica,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-importaciones-y-logistica/1885613223
4594,Asesoftware S.A.S,Auxiliar administrativo,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo/1885613118
4595,MASSY ENERGY COLOMBIA S.A.S,Planeador de mantenimiento- parada de planta,"$5,5 a $6 millones",Riohacha,https://www.elempleo.com/co/ofertas-trabajo/planeador-de-mantenimiento-parada-de-planta/1885613225
4596,UNIVERSIDAD ICESI,Auxiliar administrativa (o) start up y aceleración - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-o-start-up-y-aceleracion-cali/1885613222
4597,Empresa confidencial,¡reconocida multinacional busca un/a analista de selección bilingüe!,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-busca-un-a-analista-de-seleccion-bilingue/1885609693
4598,Listos S.A.S,Inspector de calidad o laboratorio,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-calidad-o-laboratorio/1885613228
4599,SERVICIOS Y ASESORIAS,Director técnico,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-tecnico/1885613268
4600,GI GROUP COLOMBIA S.A.S,Ejecutivo comercial,"$1,5 a $2 millones",San Francisco,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885613109
4601,Valin Ingenieria SAS,Experto en excel,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/experto-en-excel/1885613111
4602,SITEL,Practicante bilingue psicologia-etapa de prácticas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-bilingue-psicologiaetapa-de-practicas/1885613129
4603,GI GROUP COLOMBIA S.A.S,Ejecutivo comercial,"$1,5 a $2 millones",Garzón,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885613121
4604,FUNDACIÓN UNIVERSITARIA INTERNACIONAL DE LA RIOJA,Auxiliar gestión administrativa,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-gestion-administrativa/1885613132
4605,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613150
4606,STAFFING DE COLOMBIA,Presentadora modelo/ juegos de casino/ medellin,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/presentadora-modelo--juegos-de-casino--medellin/1885613157
4607,Empresa confidencial,Tecnico de soporte sector hidrocarburos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sector-hidrocarburos/1885613159
4608,UNIAGRARIA,Docente de apoyo y acompañamiento a prácticas,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/docente-de-apoyo-y-acompanamiento-a-practicas/1885613169
4609,MSN LABS AMERICAS SAS,Medico administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/medico-administrativo/1885613178
4610,Biomedical Distribution Colombia SL LTDA,"Supervisor de infraestructura it, bogotá",$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-infraestructura-it-bogota/1885613155
4611,Empresa confidencial,Lider mantenimiento (consumo masivo alimentos),"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lider-mantenimiento-consumo-masivo-alimentos/1885613149
4612,Empresa confidencial,Analista de mercadeo,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-mercadeo/1885613182
4613,STAFFING DE COLOMBIA,Director de proyectos / mercadeo / mercadotecnia / publicidad,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-de-proyectos---mercadeo---mercadotecnia---publicidad/1885613193
4614,EMTELCO,Analista de desarrollo de aplicaciones - medellín,"$2,5 a $3 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-de-desarrollo-de-aplicaciones-medellin/1885613203
4615,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613208
4616,CONFIPETROL,Auxiliar jurídico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-juridico/1885613204
4617,Fundacion Santa fé,Instrumentador (a) quirurgico (a),"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/instrumentador-a-quirurgico-a/1885613209
4618,PANAMERICANA OUTSOURCING S.A.,Auxiliar de auditoría procesos,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-auditoria-procesos/1885548797
4619,Holcim,Analista de conciliaciones bilingüe (holcim abs) - frances b2,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/analista-de-conciliaciones-bilingue-holcim-abs-frances-b2/1885612959
4620,Empresa confidencial,Coordinador administrador en salud - pasto,$6 a $8 millones,Pasto,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrador-en-salud-pasto/1885613219
4621,Empresa confidencial,Consultor en sistemas integrados de gestión,"$4 a $4,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/consultor-en-sistemas-integrados-de-gestion/1885613213
4622,CEDICAF S.A,Técnico en atención pre hospitalario,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-en-atencion-pre-hospitalario/1885612982
4623,KIBERNUM SAS,Analista tecnico/fullstack,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-tecnico-fullstack/1885613215
4624,SUSTS Colombia Ltda.,Practicante tecnico o tecnólogo - tecnología y sistemas bogota,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-tecnico-o-tecnologo-tecnologia-y-sistemas-bogota/1885613220
4625,Empresa confidencial,Odontologo director comercial,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/odontologo-director-comercial/1885613237
4626,MANPOWER,Analista contable - experiencia en fiduciarias,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-contable-experiencia-en-fiduciarias/1885613232
4627,Empresa confidencial,Enfermera (o) soporte y capacitación historia clinica sistematizada,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermera-o-soporte-y-capacitacion-historia-clinica-sistematizada/1885613235
4628,Nae,Auxiliar contable,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-contable/1885613280
4629,ADECCO COLOMBIA S A,Enfermero jefe de cultura y formacion,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe-de-cultura-y-formacion/1885613250
4630,Empresa confidencial,Montacarguista,"$2 a $2,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/montacarguista/1885613252
4631,Empresa confidencial,We're looking for a bilingual quality analyst in barranquilla!,"$2 a $2,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/were-looking-for-a-bilingual-quality-analyst-in-barranquilla/1885613297
4632,SMART CONSULTING AND SERVICE LIMITADA,Comercial ejecutivo,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/comercial-ejecutivo/1885613290
4633,PARQUE EXPLORA,Profesional diseño industrial,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/profesional-diseno-industrial/1885613253
4634,TALYCAP GLOBAL SAS,Comercial it,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/comercial-it/1885613306
4635,Empresa confidencial,Gerente administrativo y comercial,Salario a convenir,Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/gerente-administrativo-y-comercial/1885613264
4636,ADECCO COLOMBIA S A,Analista de investigación y desarrollo de productos,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-investigacion-y-desarrollo-de-productos/1885613276
4637,Sinergy & Lowells,Analista soporte lt/ calidad 27001,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-soporte-lt--calidad-27001/1885613296
4638,Servicio de empleo Comfama,Analista de compras y logística con licencia b1 para guarne 1626313558.8,"$1,5 a $2 millones",Guarne,https://www.elempleo.com/co/ofertas-trabajo/analista-de-compras-y-logistica-con-licencia-b1-para-guarne-16263135588/1885613292
4639,Empresa confidencial,Asistente administrativo sogomaso,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asistente-administrativo-sogomaso/1885613289
4640,Empresa confidencial,Asesor comercial medicina prepagada,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-medicina-prepagada/1885613256
4641,MEDICALL TALENTO HUMANO S.A.S.,Enfermera de gestion del riesgo,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermera-de-gestion-del-riesgo/1885613301
4642,NUEVA EPS S.A,Coordinador de oficina - armenia-rs-012356,"$3 a $3,5 millones",Armenia,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-oficina-armeniars012356/1885613308
4643,Empresa confidencial,¡reconocida multinacional busca un/a analista de selección bilingüe!,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-busca-un-a-analista-de-seleccion-bilingue/1885609693
4644,SERVICIOS Y ASESORIAS,Director técnico,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-tecnico/1885613268
4645,PERIFERIA IT CORP SAS,Consultor/a sql server - sas,"$5,5 a $6 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-a-sql-server-sas/1885613285
4646,Comestibles Ricos S.A,Supervisor de ventas tat- chia,Salario a convenir,Chía,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-ventas-tat-chia/1885613238
4647,MASSY ENERGY COLOMBIA S.A.S,Planeador de mantenimiento- parada de planta,"$5,5 a $6 millones",Riohacha,https://www.elempleo.com/co/ofertas-trabajo/planeador-de-mantenimiento-parada-de-planta/1885613225
4648,Asesoftware S.A.S,Auxiliar administrativo,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo/1885613118
4649,Listos S.A.S,Inspector de calidad o laboratorio,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-calidad-o-laboratorio/1885613228
4650,Empresa confidencial,Enfermero jefe -,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/enfermero-jefe/1885612869
4651,Arturo Calle,Auxiliar punto de venta,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-punto-de-venta/1885612870
4652,WEG,Auxiliar mecánico,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-mecanico/1885612871
4653,Empresa confidencial,Profesional comercial y de mercadeo,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesional-comercial-y-de-mercadeo/1885612877
4654,Empresa confidencial,Analista de datos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-datos/1885538749
4655,SOCIA BPO S.A.S,Auxiliar compras,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-compras/1885612884
4656,QUIRUMEDICAS LTDA,Analista de planeación de producción - sector farmacéutico.,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-planeacion-de-produccion-sector-farmaceutico/1885612891
4657,REPRESENTACIONES CONTINENTAL S.A.S,Auxiliar administrativo contable,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo-contable/1885612885
4658,S.O.S.,Analista de recobros - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-recobros-cali/1885612925
4659,Servicio de empleo Comfama,Cocinero/a 1626117314.12,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/cocinero-a-162611731412/1885612923
4660,ENLACE TOTAL DE LA COSTA S.A.S.,Auxiliar administrativa cartagena,"$1 a $1,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-cartagena/1885369567
4661,Empresa confidencial,Ingeniero de control y automatizacion,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-control-y-automatizacion/1885612905
4662,BUREAU VERITAS,Auditor de centros de servicio - bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auditor-de-centros-de-servicio-bogota/1885612896
4663,Servicio de empleo Comfama,Coordinador/a de producción 1626043662.53,"$1,5 a $2 millones",La Estrella,https://www.elempleo.com/co/ofertas-trabajo/coordinador-a-de-produccion-162604366253/1885612915
4664,Empresa confidencial,Aprendiz contable,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-contable/1885612922
4665,Empresa confidencial,Analista de comercio exterior,Salario a convenir,Cali,https://www.elempleo.com/co/ofertas-trabajo/analista-de-comercio-exterior/1885612912
4666,Empresa confidencial,Auxiliar de nomina y contabilidad,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-nomina-y-contabilidad/1885612956
4667,Empresa confidencial,Asesor de ventas tecnologia bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-ventas-tecnologia-bogota/1885612929
4668,COLSUBSIDIO,Ejecutivo de aseguramiento retencion empresarial urgente,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-aseguramiento-retencion-empresarial-urgente/1885612933
4669,Servicio de empleo Comfama,Asesoría en punto de venta 305642.30,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesoria-en-punto-de-venta-30564230/1885612937
4670,Empresa confidencial,Auxiliar video cctv,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-video-cctv/1885612943
4671,Servicio de empleo Comfama,Líder de desarrollo 1626040293.141,$6 a $8 millones,Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-desarrollo-1626040293141/1885612934
4672,Empresa confidencial,Ingeniero networking,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-networking/1885612951
4673,NOVATEC,Reclutador ti,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/reclutador-ti/1885612954
4674,Inmaculada Concepcion,Auxiliar de cocina,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-cocina/1885612948
4675,ADECCO COLOMBIA S A,Especialista de atraccion del talento humano (cota) con ruta,"$2,5 a $3 millones",Cota,https://www.elempleo.com/co/ofertas-trabajo/especialista-de-atraccion-del-talento-humano-cota-con-ruta/1885612983
4676,Empresa confidencial,Supervisor de transporte la lucha,"$1 a $1,5 millones",Sahagún,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-transporte-la-lucha/1885356387
4677,Grupo Good,Conductor de obra -pereira,"$1 a $1,5 millones",Pereira,https://www.elempleo.com/co/ofertas-trabajo/conductor-de-obra-pereira/1885612973
4678,UNIVERSIDAD DE LA SALLE,Ingeniero electricista,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-electricista/1885612970
4679,CHEIL COLOMBIA,Project manager,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/project-manager/1885612965
4680,La Comuna Seguros Ltda.,Asesor de seguros,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-seguros/1885612964
4681,LILIPINK,"Líder o administradora punto de venta retail (exp. en tienda de ropa, calzado, accesorios)","$1,5 a $2 millones",Bucaramanga,https://www.elempleo.com/co/ofertas-trabajo/lider-o-administradora-punto-de-venta-retail-exp-en-tienda-de-ropa-calzado-accesorios/1885612967
4682,PONTIFICIA UNIVERSID,Auxiliar de pagos,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-pagos/1885612966
4683,INSTITUTO DE ESTUDIOS CIENTIFICOS EN ODONTOLOGIA IECO S.A.,Coordinador ips odontologica,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/coordinador-ips-odontologica/1884819390
4684,Empresa confidencial,"Analista de viabilidad - bogotá d,c",Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-viabilidad-bogota-dc/1885507572
4685,CREDICORP CAPITAL COLOMBIA,Analista sr. recaudos y pagos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-sr-recaudos-y-pagos/1885554387
4686,NTT DATA Colombia,Desarrollador terraform iac azure,"$10 a $12,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-terraform-iac-azure/1885612863
4687,SUSTS Colombia Ltda.,Practicante tecnico o tecnólogo - tecnología y sistemas bogota,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-tecnico-o-tecnologo-tecnologia-y-sistemas-bogota/1885613220
4688,KIBERNUM SAS,Analista tecnico/fullstack,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-tecnico-fullstack/1885613215
4689,Empresa confidencial,Consultor en sistemas integrados de gestión,"$4 a $4,5 millones",Cartagena,https://www.elempleo.com/co/ofertas-trabajo/consultor-en-sistemas-integrados-de-gestion/1885613213
4690,CEDICAF S.A,Técnico en atención pre hospitalario,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-en-atencion-pre-hospitalario/1885612982
4691,Empresa confidencial,Coordinador administrador en salud - pasto,$6 a $8 millones,Pasto,https://www.elempleo.com/co/ofertas-trabajo/coordinador-administrador-en-salud-pasto/1885613219
4692,Universidad de la Sabana,Gestor de proyectos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-proyectos/1885613143
4693,Empresa confidencial,Jefe de importaciones y logistica,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-importaciones-y-logistica/1885613223
4694,Asesoftware S.A.S,Auxiliar administrativo,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativo/1885613118
4695,MASSY ENERGY COLOMBIA S.A.S,Planeador de mantenimiento- parada de planta,"$5,5 a $6 millones",Riohacha,https://www.elempleo.com/co/ofertas-trabajo/planeador-de-mantenimiento-parada-de-planta/1885613225
4696,UNIVERSIDAD ICESI,Auxiliar administrativa (o) start up y aceleración - cali,"$1,5 a $2 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-administrativa-o-start-up-y-aceleracion-cali/1885613222
4697,Empresa confidencial,¡reconocida multinacional busca un/a analista de selección bilingüe!,"$2,5 a $3 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-busca-un-a-analista-de-seleccion-bilingue/1885609693
4698,Listos S.A.S,Inspector de calidad o laboratorio,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/inspector-de-calidad-o-laboratorio/1885613228
4699,SERVICIOS Y ASESORIAS,Director técnico,"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-tecnico/1885613268
4700,GI GROUP COLOMBIA S.A.S,Ejecutivo comercial,"$1,5 a $2 millones",San Francisco,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885613109
4701,Valin Ingenieria SAS,Experto en excel,$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/experto-en-excel/1885613111
4702,SITEL,Practicante bilingue psicologia-etapa de prácticas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/practicante-bilingue-psicologiaetapa-de-practicas/1885613129
4703,GI GROUP COLOMBIA S.A.S,Ejecutivo comercial,"$1,5 a $2 millones",Garzón,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885613121
4704,FUNDACIÓN UNIVERSITARIA INTERNACIONAL DE LA RIOJA,Auxiliar gestión administrativa,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-gestion-administrativa/1885613132
4705,NEXA BPO,Agente call center cobranzas cartera administrativa,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/agente-call-center-cobranzas-cartera-administrativa/1885613150
4706,STAFFING DE COLOMBIA,Presentadora modelo/ juegos de casino/ medellin,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/presentadora-modelo--juegos-de-casino--medellin/1885613157
4707,Empresa confidencial,Tecnico de soporte sector hidrocarburos,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/tecnico-de-soporte-sector-hidrocarburos/1885613159
4708,UNIAGRARIA,Docente de apoyo y acompañamiento a prácticas,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/docente-de-apoyo-y-acompanamiento-a-practicas/1885613169
4709,MSN LABS AMERICAS SAS,Medico administrativo,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/medico-administrativo/1885613178
4710,Biomedical Distribution Colombia SL LTDA,"Supervisor de infraestructura it, bogotá",$6 a $8 millones,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/supervisor-de-infraestructura-it-bogota/1885613155
4711,Empresa confidencial,Lider mantenimiento (consumo masivo alimentos),"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/lider-mantenimiento-consumo-masivo-alimentos/1885613149
4712,Empresa confidencial,Analista de mercadeo,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-mercadeo/1885613182
4713,STAFFING DE COLOMBIA,Director de proyectos / mercadeo / mercadotecnia / publicidad,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/director-de-proyectos---mercadeo---mercadotecnia---publicidad/1885613193
4714,EMTELCO,Analista de desarrollo de aplicaciones - medellín,"$2,5 a $3 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/analista-de-desarrollo-de-aplicaciones-medellin/1885613203
