,Empresas,Cargos,Salarios,Ciudades,Urls
7743,CFA - Cooperativa Financiera de Antioquia,Asesor comercial alpujarra,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-alpujarra/1885150235
7744,Politecnico Grancolombiano,Profesor tiempo completo presencial desarrollo de software (ingeniero con maestría),"$4 a $4,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesor-tiempo-completo-presencial-desarrollo-de-software-ingeniero-con-maestria/1885613084
7745,VANTI SA ESP,Profesional data,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/profesional-data/1885613136
7746,ADECCO COLOMBIA S A,Líder de operaciones y reservas cartagena,"$3 a $3,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-operaciones-y-reservas-cartagena/1885614065
7747,Accenture Ltda,Credit & collection analyst,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/credit-collection-analyst/1885614019
7748,DBS SYSTEM SAS,Gerente de cuenta comercial sector gobierno y privado servicios ti,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/gerente-de-cuenta-comercial-sector-gobierno-y-privado-servicios-ti/1885614034
7749,SERVI-INDUSTRIALES & MERCADEO SAS,Impulsador - bogotá,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/impulsador-bogota/1885614035
7750,HOME SENTRY,Analista comercio exterior bilingüe,"$2 a $2,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-comercio-exterior-bilingue/1885614038
7751,Health & Life IPS SAS,Auxiliar de enfermeria clinica de heridas,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-de-enfermeria-clinica-de-heridas/1885614041
7752,Empresa confidencial,Consultor sap abap junior,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-sap-abap-junior/1885614063
7753,EFICACIA S.A.,Agente callcenter- cali o jamundi,"$1 a $1,5 millones",Cali,https://www.elempleo.com/co/ofertas-trabajo/agente-callcenter-cali-o-jamundi/1885614066
7754,Empresa confidencial,Ejecutivo comercial salud - duitama,"$1 a $1,5 millones",Duitama,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-salud-duitama/1885614067
7755,Servicio de empleo Comfama,Mecánico/a automotriz junior 1625915254.159,"$1 a $1,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/mecanico-a-automotriz-junior-1625915254159/1885614055
7756,Empresa confidencial,Ejecutivo comercial,"$1 a $1,5 millones",Sogamoso,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial/1885614048
7757,Linexperts Consultoria Empresarial SAS,Administrador de ambientes no productivos - información y medios senior,Salario a convenir,Remoto,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-ambientes-no-productivos-informacion-y-medios-senior/1885613115
7758,Empresa confidencial,Formador de semilleros en automatización,"$4 a $4,5 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/formador-de-semilleros-en-automatizacion/1885614068
7759,Empresa confidencial,Automatizador de pruebas de software,Salario a convenir,Bogotá,https://www.elempleo.com/co/ofertas-trabajo/automatizador-de-pruebas-de-software/1885595343
7760,Empresa confidencial,Ejecutivo comercial salud - chía,"$1 a $1,5 millones",Chía,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-salud-chia/1885614091
7761,Scotiabank Colpatria,Analista ii suport & mis,"$3,5 a $4 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-ii-suport-mis/1885614092
7762,Empresa confidencial,Analista de seguridad de la información - barranquilla,"$3 a $3,5 millones",Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/analista-de-seguridad-de-la-informacion-barranquilla/1885614083
7763,Empresa confidencial,Aprendiz sena gestión administrativa (etapa productiva).,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/aprendiz-sena-gestion-administrativa-etapa-productiva/1885614071
7764,DROPOPULAR S.A.S,Auxiliar inventarios bogotá,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-inventarios-bogota/1885614095
7765,ALKOSTO,Lider de caja - ktronix medellin,"$2 a $2,5 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/lider-de-caja-ktronix-medellin/1885614105
7766,CORONA,Diseñador (a) ilustrador (a) vajillas- planta caldas,Salario a convenir,Caldas,https://www.elempleo.com/co/ofertas-trabajo/disenador-a-ilustrador-a-vajillas-planta-caldas/1885614109
